"course_title","code","subject","description"
"Nuclear Environments","INTL ST 122","INTL ST - International Studies","Understanding the impact of the nuclear age on the environment and human health through interrelated developments of nuclear power and nuclear weapons. The early years of weapon development, catastrophic environmental pollution, perils of nuclear power in the U.S. and Russia.Same asSOCECOL E127,PUBHLTH 168.(VIII)"
"Introduction to the Comparative Study of Legal Cultures","INTL ST 124A","INTL ST - International Studies","Traces the anthropological and comparative cultural study of law from the nineteenth century to the present; briefly surveys the diversity of recorded legal cultures and critically examines key concepts which have been used to describe and classify them.Same asCRM/LAW C102.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. SocEcol-Urban & Regional Plan Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment."
"Global Economy","INTL ST 13","INTL ST - International Studies","Acquaints students with the fundamental patterns of the global economy. Emphasizes the historical roots and political implications of economic choices.Same asECON 13.Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.(III and VIII )."
"Transnational Gangs","INTL ST 130","INTL ST - International Studies","Examines the internationalization of U.S. domestic street gangs.  The relationship between California gangs Mara Salvatrucha and 18th Street and Mexico/Central American gangs is assessed.  Specified topics include:  mobilization, migration, territorialism, culture, organization, and use of technology.Same asIS 130.Overlaps with SSCI XI120, IS XI130."
"Introduction to International Relations","INTL ST 14","INTL ST - International Studies","Analysis of political relations between and among nations with emphasis on explanations of conflict and cooperation. The role of ideologies and their relation to international problems are also examined.Same asPOL SCI 41A.Restriction: Political Science Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.(III and VIII )."
"Homeland Security    ","INTL ST 141B","INTL ST - International Studies","Examines the 9/11 origins of the concept of homeland security; assess the evolution, structure, and operations of the Department of Homeland Security; critically examines the evolution of threat assessment to the U.S. and the utilization of risk management methodologies.Same asPOL SCI 143G."
"Vietnam War","INTL ST 143A","INTL ST - International Studies","Examines social structures and social changes in Vietnamese and U.S. societies through the study of the Vietnam War.Same asSOCIOL 170A."
"International Law","INTL ST 145A","INTL ST - International Studies","Examination of the origin, changing structure, application of international law, and the role of legal norms in regulating the behavior of states and maintaining international order.Prerequisite:POL SCI 71ASame asPOL SCI 172A.(VIII)"
"Global Indigeneity","INTL ST 146","INTL ST - International Studies","Situates the interdisciplinary fields of Native American and Indigenous Studies within a transnational context, focusing on the global dimensions of indigeneity informing local histories, politics, and experiences. Examines settler colonialism, sovereignty, and the enduring legacies of colonialism as global phenomena.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"International Humanitarianism","INTL ST 147CW","INTL ST - International Studies","Examines, analyzes, and evaluates the humanitarian phenomenon, the actors involved in it (including states, international organizations (IOs), and nongovernmental organizations (NGOs)), the rise of a body of international humanitarian law, and the problems and debates associated with international humanitarianism today.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.Same asPOL SCI 147CW.(Ib)"
"Global Futures","INTL ST 148W","INTL ST - International Studies","Develops critical insights into our collective future as it reflects different perspectives of the world. Topics include techno-orientalism, afro-futurism, feminist futures, indigenous cosmology, and environmental concerns.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment.(Ib)"
"Global Political Economy","INTL ST 15","INTL ST - International Studies","The global economy as an integrated system. The rise of world trade, capitalism, national economies, market cycles, competing economic ideologies, development, globalization, transnational labor, multinational corporations, and the role of UN, World Bank, WTO, and the IMF in global governance.Same asSOC SCI 15.Restriction: International Studies Majors have first consideration for enrollment. Social Science Majors have first consideration for enrollment.(III and VIII )."
"Racism and Global Apartheid","INTL ST 150","INTL ST - International Studies","The concept of race has been used to draw a global color line dividing rich from poor, developed from developing, first from third worlds. Racism is used to justify slavery, colonialism, imperialism, eugenics, genocide, and extreme inequalities produced by globalization.Restriction: International Studies Majors have first consideration for enrollment. Social Science Majors have first consideration for enrollment."
"Religion and World Politics","INTL ST 151B","INTL ST - International Studies","Examines the relationship between religion and world politics historically and today, focusing on connections with peace/war, democracy, human rights, secularism(s), and globalization. Covers major debates, scholarship, concepts, and theories through class exercises, exams, and essays.Prerequisite:POL SCI 41AorINTL ST 11orINTL ST 12orREL STD 5AorREL STD 5BorREL STD 5CSame asPOL SCI 146B,REL STD 115."
"Non-Government Organization (NGO) Fundamentals","INTL ST 152A","INTL ST - International Studies","Introduction to non-governmental organizations, including their role in U.S. society and the international community. Explores varying definitions of NGOs and the characteristics held in common by all NGOs.Same asSOC SCI 152A."
