"code","level","title","description","credits"
"SASIA 3220","Undergraduate","Citizenship in South Asia","By way of examining literature, historical accounts, primary writings from known historical figures, and contemporary Indian film, this course engages students with a look at how citizenship is imagined in nation states, how it was imagined in colonial India, and how it is manifest in post-colonial South Asia.
GE theme citizenship for div and just wrld course.",3
"SASIA 3635","Undergraduate","Desi Diaspora: South Asians in the United States","This course is designed as a multi-disciplinary introduction to communities with South Asian heritage who live in the United States of America. The material for the class centers on the South Asian diaspora in the US. The class aims to teach students the connections between diasporas, identities, nationalism, citizenship, and if diasporic communities? have lived experiences that are unique.
GE theme citizenship for div and just wrld course.",3
"SPHHRNG 3360","Undergraduate","Observation in Speech-Language Pathology and Audiology","Observation in appraisal and treatment of communication disorders.
Prereq: 2230 (230). Not open to students with credit for 360. This course is graded S/U.",3
"SPHHRNG 5193","Undergraduate","Individual Studies","Conference, library, and laboratory work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 3"
"SPHHRNG 5193","Graduate","Individual Studies","Conference, library, and laboratory work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 3"
"SPHHRNG 4999H","Undergraduate","Honors Research and Thesis","A program of independent study for the student with special aptitudes; individual conferences and reports, leading to the completion of the Honors thesis.
Prereq: SphHrng GPA 3.4 or above, Sr. standing, permission of the instructor and permission of the ASC Honors Committee. Not open to students with 15 qtr cr hrs in 783H. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","2 - 10"
"SPHHRNG 4999","Undergraduate","Baccalaureate Research and Thesis","A program of directed independent study for the academically strong student with an interest in research and the desire to complete a thesis.
Prereq: GPA 3.4 or above in SphHrng, and Jr or Sr standing, and permission of the instructor. Not open to students with maximum cr hrs in 4999H or 783H. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","2 - 10"
"BMI 5793","Graduate","Individual Studies in Biomedical Informatics","Enables graduate students to do research projects with faculty other than their adviser.
Prereq: Permission of instructor. Repeatable to a maximum of 60 cr hrs or 4 completions. This course is graded S/U.","1 - 15"
"ENGLISH 1110.01","Undergraduate","First-Year English Composition","Practice in the fundamentals of expository writing, as illustrated in the student's own writing & in the essays of professional writers. May be available as a service learning course with five hours community service required at the Lima campus only.
Prereq: EduTL1902 (108.01) or 1902.04 (108.01), or English Placement Level 4. Not open to students with credit for 1109 (109.01 or 109.02), 1110.01 (non-DL version), 1110.01H (110.01H), 1110.02 (110.02), 1110.02H (110.02H), 1110.03 (110.03), 1167H (167H ), 110.01. This course is available for EM credit. GE writing and comm course: level 1. GE foundation writing and info literacy course.",3
"ENGLISH 1110.02","Undergraduate","First-Year English Composition","Practice in the fundamentals of expository writing, as illustrated in the student's own writing and in the essays of professional writers. Taught with an emphasis on literary texts.
Prereq: EduTL 1902 or 1902.04, or English Placement Level 4. Not open to students with credit for 1109, 1110.01, 1110.01H, 1110.02 (non-DL version), 1110.02H, 1110.03, 1167H, or equiv. This course is available for EM credit. GE writing and comm course: level 1. GE foundation writing and info literacy course.",3
"ENGLISH 2260","Undergraduate","Introduction to Poetry","Designed to help students understand and appreciate poetry through an intensive study of a representative group of poems.
Prereq: 1110.01 (110.01) or equiv. Not open to students with credit for 2260H (260H) or 260. GE lit course. GE foundation lit, vis and performing arts course.",3
"ENGLISH 2276","Undergraduate","Arts of Persuasion","Introduces students to the study and practice of rhetoric and how arguments are shaped by technology, media, and cultural contexts.
Prereq: GE foundation writing and info literacy course. GE cultures and ideas course. GE theme citizenship for div and just wrld course.",3
"ENGLISH 2277","Undergraduate","Introduction to Disability Studies","Foundational concepts and issues in disability studies; introduction to the sociopolitical models of disability.
Prereq: 1110.01. GE cultures and ideas course. GE theme health and well-being course.",3
"ENGLISH 2367.01","Undergraduate","Language, Identity, and Culture in the U.S. Experience","Extends & refines expository writing & analytical reading skills, emphasizing recognition of intertextuality & reflection on compositional strategies on topics pertaining to education & pop culture in America. 
Prereq: 1110.01, and Soph standing; or EM credit for 1110.01 or equiv; or a declared major in English. Not open to students with credit for 2367.01H. GE writing and comm: level 2 and diversity soc div in the US course.",3
"ENGLISH 3372","Undergraduate","Special Topics in Science Fiction or Fantasy","Introduction to the tradition and practice of speculative writing. Provides students the opportunity to examine and compare works of science fiction and/or fantasy.
Prereq: 1110. Repeatable to a maximum of 6 cr hrs. GE lit course. GE foundation lit, vis and performing arts course.",3
"ENGLISH 4591.02H","Undergraduate","Special Topics in the Study of Rhetoric","Study of rhetorical theories and practices through examination of social communities, texts, movements, and periods both past and present.
Prereq: Honors standing, and 10 qtr cr hrs or 6 cr hrs of English at 2000-3000 level, or permission of instructor. Not open to students with 10 qtr cr hrs for 591.02H. Repeatable to a maximum of 6 cr hrs.",3
"ENGLISH 2264","Undergraduate","Introduction to Popular Cultures","This course introduces students to the interdisciplinary field of Popular Culture Studies through a variety of methods and case studies. The specific focus will be on the entanglement of race, ethnicity, and gender in popular cultures.
Prereq: Completion of English 1110 or one GE Foundation Writing and Information Literacy course. Not open to students with credit for CompStd 2264. GE cultures and ideas course. GE foundation historical and cultural studies and race, ethnicity and gender div course. Cross-listed in CompStd.",3
"DSABLST 5191","Graduate","Disability Studies Internship","Offers undergraduate and graduate students the opportunity to work with disability-related organizations on or off campus.
Prereq: English 2277 or SphHrng 4510, and permission of instructor who will supervise the internship. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
